Lachesis_group1__63_contigs__length_187967259	Obi01	61.8781219561629	161	493	733
Lachesis_group1__63_contigs__length_187967259	Obi30	2.3830330238453	20	493	125
Lachesis_group1__63_contigs__length_187967259	Obi09	7.25448048254605	50	493	365
Lachesis_group1__63_contigs__length_187967259	Obi28	57.077736222479	85	493	191
Lachesis_group1__63_contigs__length_187967259	Obi26	106.695280438582	112	493	163
Lachesis_group0__68_contigs__length_203855924	Obi01	129.375782494819	207	417	733
Lachesis_group0__68_contigs__length_203855924	Obi30	101.637369568173	93	417	125
Lachesis_group5__70_contigs__length_158228327	Obi20	Inf	339	399	363
Lachesis_group14__44_contigs__length_129294686	Obi03	33.183847390445	94	333	625
Lachesis_group14__44_contigs__length_129294686	Obi04	118.245712449687	167	333	571
Lachesis_group2__55_contigs__length_182973478	Obi13	112.186687001033	118	332	232
Lachesis_group2__55_contigs__length_182973478	Obi07	108.499543671051	144	332	427
Lachesis_group6__62_contigs__length_156955521	Obi10	53.2959997348306	88	329	327
Lachesis_group6__62_contigs__length_156955521	Obi23	83.0741156728393	104	329	269
Lachesis_group6__62_contigs__length_156955521	Obi04	26.5064563371606	81	329	571
Lachesis_group20__56_contigs__length_105542877	Obi14	191.056892121411	186	320	391
Lachesis_group20__56_contigs__length_105542877	Obi25	5.90081431182845	22	320	146
Lachesis_group20__56_contigs__length_105542877	Obi28	3.66506195973272	22	320	191
Lachesis_group9__67_contigs__length_144638433	Obi22	106.090669199136	106	299	207
Lachesis_group9__67_contigs__length_144638433	Obi02	80.5627438949211	144	299	732
Lachesis_group13__58_contigs__length_132030582	Obi07	77.8035116613308	110	274	427
Lachesis_group13__58_contigs__length_132030582	Obi05	51.6392435588206	92	274	470
Lachesis_group13__58_contigs__length_132030582	Obi25	23.3955598442077	38	274	146
Lachesis_group4__56_contigs__length_174030884	Obi15	303.779919260792	200	266	249
Lachesis_group21__43_contigs__length_103963499	Obi03	20.3791713844989	66	251	625
Lachesis_group21__43_contigs__length_103963499	Obi04	24.292294277565	68	251	571
Lachesis_group21__43_contigs__length_103963499	Obi24	54.5508844475723	73	251	254
Lachesis_group11__73_contigs__length_131769366	Obi01	34.9607096015277	87	242	733
Lachesis_group11__73_contigs__length_131769366	Obi27	123.012692934762	102	242	174
Lachesis_group17__52_contigs__length_118315660	Obi03	111.437885117753	145	238	625
Lachesis_group17__52_contigs__length_118315660	Obi09	22.1544736539428	52	238	365
Lachesis_group3__52_contigs__length_175295898	Obi12	291.86574689663	173	238	189
Lachesis_group28__49_contigs__length_91470296	Obi06	25.8024719893792	58	235	439
Lachesis_group28__49_contigs__length_91470296	Obi05	66.2055973515871	96	235	470
Lachesis_group28__49_contigs__length_91470296	Obi29	17.794708763893	25	235	86
Lachesis_group12__46_contigs__length_133395132	Obi18	5.51908509386603	24	234	237
Lachesis_group12__46_contigs__length_133395132	Obi10	101.574489677574	111	234	327
Lachesis_group12__46_contigs__length_133395132	Obi08	20.3492634496554	46	234	308
Lachesis_group25__42_contigs__length_94613958	Obi21	83.2609097093015	84	233	199
Lachesis_group25__42_contigs__length_94613958	Obi02	73.6135842099732	123	233	732
Lachesis_group8__53_contigs__length_148332072	Obi06	13.5511907766763	45	231	439
Lachesis_group8__53_contigs__length_148332072	Obi17	105.161322313283	102	231	241
Lachesis_group8__53_contigs__length_148332072	Obi04	13.2789066196866	51	231	571
Lachesis_group18__53_contigs__length_106174747	Obi03	43.5560414420047	89	229	625
Lachesis_group18__53_contigs__length_106174747	Obi23	29.5621127467325	52	229	269
Lachesis_group18__53_contigs__length_106174747	Obi24	40.3109381608026	60	229	254
Lachesis_group16__53_contigs__length_120303996	Obi08	139.500648923426	129	222	308
Lachesis_group16__53_contigs__length_120303996	Obi19	31.9257253109114	54	222	276
Lachesis_group35__42_contigs__length_70637049	Obi11	256.531304629643	200	221	452
Lachesis_group10__55_contigs__length_138218214	Obi19	262.535596947168	179	220	276
Lachesis_group7__52_contigs__length_145002158	Obi22	57.8062153825614	67	220	207
